Width Items Result ProblemSolvingTime TotalTime Nthreads
10000 5000000 168552 2.88059 3.94296 1
10000 5000000 168552 2.78961 3.97375 2
10000 5000000 168552 2.87011 4.06841 3
10000 5000000 168552 2.7923 4.09124 4
1000 5000000 89873 2.51427 3.55242 1
1000 5000000 89873 2.44587 3.4754 2
1000 5000000 89873 2.52073 3.60784 3
1000 5000000 89873 2.44983 3.75814 4
100 5000000 9900 2.24839 3.21171 1
100 5000000 9900 2.18033 3.24653 2
100 5000000 9900 2.24354 3.32202 3
100 5000000 9900 2.19005 3.35895 4
10000 500000 55981 0.259102 0.367914 1
10000 500000 55981 0.255678 0.406316 2
10000 500000 55981 0.263833 0.419768 3
10000 500000 55981 0.259486 0.39144 4
1000 500000 45660 0.2351 0.341187 1
1000 500000 45660 0.233014 0.362079 2
1000 500000 45660 0.240457 0.38648 3
1000 500000 45660 0.23678 0.34897 4
100 500000 9829 0.206648 0.323084 1
100 500000 9829 0.200429 0.301135 2
100 500000 9829 0.206873 0.343742 3
100 500000 9829 0.204034 0.325999 4
10000 50000 18820 0.0226629 0.033427 1
10000 50000 18820 0.022748 0.0384061 2
10000 50000 18820 0.0235188 0.0388298 3
10000 50000 18820 0.023504 0.037977 4
1000 50000 16810 0.0217659 0.0323009 1
1000 50000 16810 0.0217502 0.0333571 2
1000 50000 16810 0.022182 0.037746 3
1000 50000 16810 0.022476 0.0337291 4
100 50000 8993 0.0214388 0.0331209 1
100 50000 8993 0.019073 0.028718 2
100 50000 8993 0.019474 0.029211 3
100 50000 8993 0.0197148 0.035552 4
10000 5000 5858 0.00337911 0.00540996 1
10000 5000 5858 0.00485992 0.00711584 2
10000 5000 5858 0.00495291 0.00731587 3
10000 5000 5858 0.00497508 0.00723505 4
1000 5000 5296 0.00409102 0.00622487 1
1000 5000 5296 0.00668406 0.00889516 2
1000 5000 5296 0.00679398 0.00900698 3
1000 5000 5296 0.00659609 0.00878596 4
100 5000 4801 0.00338817 0.00535703 1
100 5000 4801 0.00360179 0.00580478 2
100 5000 4801 0.00519085 0.00732899 3
100 5000 4801 0.00371504 0.0057261 4
10000 500 1728 0.000542164 0.000771999 1
10000 500 1728 0.00175691 0.00199389 2
10000 500 1728 0.00182796 0.00217104 3
10000 500 1728 0.00182295 0.00207186 4
1000 500 1722 0.000349998 0.000574827 1
1000 500 1722 0.000558138 0.000845194 2
1000 500 1722 0.000565052 0.000808001 3
1000 500 1722 0.000666857 0.000899076 4
100 500 1782 0.00039506 0.000648022 1
100 500 1782 0.000915051 0.0011251 2
100 500 1782 0.00102615 0.00128603 3
100 500 1782 0.00712991 0.00734186 4
10000 50 546 8.79765e-05 0.000123978 1
10000 50 546 0.000272989 0.00030899 2
10000 50 546 0.000288963 0.000327826 3
10000 50 546 0.000283003 0.000322104 4
1000 50 533 7.89165e-05 0.000113964 1
1000 50 533 0.000261068 0.000295877 2
1000 50 533 0.000322104 0.000358105 3
1000 50 533 0.000315905 0.000360012 4
100 50 700 7.00951e-05 0.000102997 1
100 50 700 0.000289917 0.000335932 2
100 50 700 0.000283003 0.000317812 3
100 50 700 0.000311136 0.000347137 4
5 5 129 4.60148e-05 6.10352e-05 1
5 5 129 0.000191927 0.000209093 2
5 5 129 0.000178099 0.000196218 3
5 5 129 0.000231028 0.000247955 4
